,State,County,City,Hospital,Location,Patient Rating,Completed Surveys,Survey Response Rate (%),Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
0,MN,HENNEPIN,ROBBINSDALE,NORTH MEMORIAL MEDICAL CENTER,"3300 OAKDALE NORTH
ROBBINSDALE, MN
(45.014214, -93.321172)",3,957,26,8557,1232483,694.29,634.22,0.31
1,MN,HENNEPIN,MINNEAPOLIS,HENNEPIN COUNTY MEDICAL CENTER 1,"701 PARK AVENUE
MINNEAPOLIS, MN
(44.97285, -93.262707)",2,694,13,8557,1232483,694.29,634.22,0.31
2,MN,HENNEPIN,SAINT LOUIS PARK,PARK NICOLLET METHODIST HOSPITAL,"6500 EXCELSIOR BLVD
SAINT LOUIS PARK, MN
(44.927054, -93.362391)",3,1199,34,8557,1232483,694.29,634.22,0.31
3,MN,HENNEPIN,MINNEAPOLIS,ABBOTT NORTHWESTERN HOSPITAL,"800 EAST 28TH STREET
MINNEAPOLIS, MN
(44.951954, -93.262248)",3,865,35,8557,1232483,694.29,634.22,0.31
4,MN,HENNEPIN,MINNEAPOLIS,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE
MINNEAPOLIS, MN
(44.966335, -93.23812)",3,515,25,8557,1232483,694.29,634.22,0.31
5,MN,HENNEPIN,EDINA,FAIRVIEW SOUTHDALE HOSPITAL,"6401 FRANCE AVENUE SOUTH
EDINA, MN
(44.886279, -93.328857)",3,421,35,8557,1232483,694.29,634.22,0.31
6,MN,HENNEPIN,MAPLE GROVE,MAPLE GROVE HOSPITAL,"9875 HOSPITAL DRIVE
MAPLE GROVE, MN
(45.133377, -93.479488)",4,948,29,8557,1232483,694.29,634.22,0.31
7,AL,MARSHALL,BOAZ,MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL
",3,1250,35,1187,95157,1247.41,1052.75,0.04
8,MN,OLMSTED,ROCHESTER,MAYO CLINIC HOSPITAL ROCHESTER,"1216 SECOND STREET SOUTHWEST
ROCHESTER, MN
(44.021643, -92.481355)",4,708,38,1078,153102,704.11,578.82,0.04
9,MN,OLMSTED,ROCHESTER,OLMSTED MEDICAL CENTER,"1650 FOURTH STREET SOUTHEAST
ROCHESTER, MN
(44.020994, -92.439958)",4,325,21,1078,153102,704.11,578.82,0.04
10,MN,GOODHUE,RED WING,MAYO CLINIC HEALTH SYSTEM - RED WING,"701 HEWITT BOULEVARD, PO BOX 95
RED WING, MN
(44.560274, -92.575197)",4,347,33,463,46676,991.94,640.91,0.02
11,MI,IONIA,IONIA,SPARROW IONIA HOSPITAL,"3565 S STATE ROAD
IONIA, MI
(42.935608, -85.07478)",3,206,37,567,64232,882.74,858.87,0.02
12,MI,IRON,IRON RIVER,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC","1400 W ICE LAKE ROAD
IRON RIVER, MI
(46.09972, -88.620281)",4,179,39,198,11195,1768.65,860.63,0.01
13,DE,SUSSEX,SEAFORD,NANTICOKE MEMORIAL HOSPITAL,"801 MIDDLEFORD RD
SEAFORD, DE
(38.642332, -75.605325)",4,570,21,2578,220251,1170.48,749.47,0.09
